node_id,latitude,longitude,address,city
LOFXKLGL6DVQK8C2IVCP,Unknown,41.39514,1.09848,"T-700, 12, 43440 Espluga De Francolí, Tarragona, Spain","Espluga de Francolí, L'"
SCXCPEI04XPOWMPIIWNL,Unknown,41.231365,0.551513,"Carrer Francesc Macià, 29",Flix
42MYAGC5FZ9ABV4NLQLM,Unknown,41.040512,0.25104,"Carrer Major, 43, 43787 Caseres, Tarragona, Spain",Caseres
48ZCWRDPQHXWVN7QZNM1,Unknown,41.414997,1.923611,"Carrer Josep Tarradellas, 2, 08757 Corbera De Llobregat, Barcelona, Spain",Corbera de Llobregat
ZE37KEDDZRE1UR8A4U4M,Unknown,41.416515,1.927463,"C. De La Pau, 3",Corbera de Llobregat
VJCISF5GZUHMD0IDXFPB,Unknown,41.50906,2.114064,"Av. De Burgos, 30-42, 08214 Badia Del Vallès, Barcelona, Spain",Badia del Vallès
LNBSXU8MTS0YG1GOZJFP,Unknown,41.624805,0.894075,"Carrer Llorenç Vilaró, 7, 25230 Mollerussa, Lleida, Spain",Mollerussa
MTDZUR5KNEIGJKYJGRSF,Unknown,39.584785,2.618857,"Camí De Son Rapinya, 30, 07013 Palma, Illes Balears, Spain",Palma
UR05XMK9JKRF2ACILZXG,Unknown,39.820515,3.11475,"Carretera D'artà, 111",Alcúdia
PRC6IHUE8LCXEGDQ7O0G,Unknown,41.732155,1.51378,"Pl. Dels Arbres, 1, 08280 Calaf, Barcelona, Spain",Calaf
2B6QYLL1PXIBT666WPTF,Unknown,41.520054,0.867339,"Passeig Del Terrall, 4, 25400 Les Borges Blanques, Lleida, Spain","Borges Blanques, Les"
1TWASUAFGJ6ABHS8TJQL,Unknown,41.547047,0.828654,"Carrer Cami Borges, 54, 25430 Juneda, Lleida, Spain",Juneda
JXMP7UM6VZ2E3YTAQP85,Unknown,41.574585,1.60887,"Ctra. De Valls, 57, 08710 Santa Margarida De Montbui, Barcelona, Spain",Santa Margarida de Montbui
4LXDMOFDBHUDS0T5UORK,Unknown,42.830006,-1.666899,"Calle Víctor Eusa, 1",Pamplona/Iruña
3DFKIVCZJMY3ZBPMIIUM,Unknown,42.821968,-1.668427,"Plaza Doctor Gortari, S/N",Pamplona/Iruña
SLKKCJ7UD846LW7LB8NO,Unknown,42.819386,-1.657191,"C. Monasterio De Irache, 2",Pamplona/Iruña
QHGKXN1I9R3NAT7249F1,Unknown,42.830364,-1.667445,Av. De Guipúzcoa,Pamplona/Iruña
JOMTGVKF17NHP9FHWCFT,Unknown,42.81054,-1.672398,"Calle De Irunlarrea, 36",Pamplona/Iruña
SIHDHXYFWL3KDQJSIJIC,Unknown,42.80268,-1.63643,"C. Tajonar, C2n, 31006 Pamplona, Navarra",Pamplona/Iruña
MEC5ZDD47K06FLIHIJBP,Unknown,42.058098,2.238844,"Avinguda Del Castell, 1, 08573 Orís, Barcelona, Spain",Orís
XTFWBDSBICZRZ7FLZZ5F,Unknown,42.82907,-1.644691,"Rochapea, C. De Ansoain, 3,",Pamplona/Iruña
YDZEPFXTKWUGONROUEM3,Unknown,41.21141,0.978858,"Avinguda De Catalunya, 68, 43365 Alforja, Tarragona, Spain",Alforja
Y8YYKK5PIKP96HC60EQL,Unknown,41.321007,1.662544,"Avinguda De Catalunya, 80",Santa Margarida i els Monjos
NNWH1EMMKTU4KKTUSDNM,Unknown,42.102943,2.216019,"Carrer D'emma, 13,",Sant Quirze de Besora
AHDOFAKIGQ3HVEEYNBD3,Unknown,41.481712,2.269227,"Carrer Mediterrània, 3",Tiana
XMRS1F8OZJNCGCNQNC4T,Unknown,42.100266,2.222638,"C. De L'església, 2",Sant Quirze de Besora
ODTWJJN6LE2Q3UNROBN6,Unknown,41.96455,2.737352,"Carrer Joan Miró, 6",Bescanó
T0CXNRIYIRMCUMVKFQOR,Unknown,41.59803,1.699689,"Avinguda De La Unió, 11,",Castellolí
L086USI5NVNZWCTGZ9AM,Unknown,40.92165,0.401089,"Carrer De La Carretera, 12",Paüls
NBUH6NZGW61TMKG4QI9W,Unknown,41.5546,2.158704,"Carr. De Sentmenat, 70",Polinyà
DTYCLSH6RJ6UWEKAYUCP,Unknown,41.563026,2.155133,"Carr. De Sentmenat, 141",Polinyà
0NIFZGZTX513JKRXO31B,Unknown,41.555428,2.160479,"Carrer De La Rosa, 55A",Polinyà
TVRME5VCP6EEAXLMHDKT,Unknown,41.555058,2.150274,"Carrer Victor Català, 5-1",Polinyà
TVK3C0RJL0ICB4V67MBU,Unknown,41.553387,2.154972,Av. Lluis Companys - Balmes,Polinyà
NUFQI6FSCOIUWWO9WN9U,Unknown,41.560886,2.152137,"Avinguda De Sabadell, 11-13",Polinyà
